Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
03/12/2024,UD Barbastro,Espanyol,2,0,H
03/12/2024,Real Zaragoza,Granada,2,2,D
03/12/2024,CE Europa,Las Palmas,1,2,A
04/12/2024,UE Sant Andreu,Real Betis,1,3,A
04/12/2024,Unionistas CF,Rayo Vallecano,2,3,A
04/12/2024,Gimnàstic de Tarragona,Huesca,0,1,A
04/12/2024,Ourense CF,Deportivo La Coruna,1,0,H
04/12/2024,Cultural Leonesa,Almeria,1,2,A
04/12/2024,Cadiz,Eldense,0,1,A
04/12/2024,Racing Santander,Sporting Gijon,1,0,H
04/12/2024,UD Logroñés,Girona,0,0,D
04/12/2024,SD Ejea,Valencia,1,3,A
04/12/2024,Pontevedra CF,Villarreal,1,0,H
04/12/2024,CD Estepona,Leganes,2,2,D
04/12/2024,Zamora CF,Tenerife,0,0,D
05/12/2024,CP Cacereño,Atletico Madrid,1,3,A
05/12/2024,Orihuela CF,Getafe,0,0,D
05/12/2024,Ceuta,Osasuna,2,3,A
05/12/2024,Ponferradina,Castellon,1,1,D
05/12/2024,Barakaldo CF,Racing Ferrol,1,2,A
05/12/2024,Marbella FC,Burgos,1,0,H
05/12/2024,Andorra,Cartagena,0,1,A
05/12/2024,UE Olot,Sevilla,1,3,A
05/12/2024,Deportiva Minera,Alaves,2,2,D
05/12/2024,UB Conquense,Real Sociedad,0,1,A
03/01/2025,Pontevedra CF,Mallorca,3,0,H
03/01/2025,Granada,Getafe,0,1,A
03/01/2025,Racing Ferrol,Rayo Vallecano,1,3,A
04/01/2025,Huesca,Real Betis,0,1,A
04/01/2025,Tenerife,Osasuna,1,2,A
04/01/2025,Almeria,Sevilla,4,1,H
04/01/2025,UD Barbastro,Barcelona,0,4,A
04/01/2025,UD Logroñés,Athletic Bilbao,0,0,D
04/01/2025,Marbella FC,Atletico Madrid,0,1,A
05/01/2025,Ourense CF,Valladolid,3,2,H
05/01/2025,Elche,Las Palmas,4,0,H
05/01/2025,Ponferradina,Real Sociedad,0,2,A
05/01/2025,Racing Santander,Celta Vigo,2,3,A
05/01/2025,Cartagena,Leganes,1,2,A
06/01/2025,Deportiva Minera,Real Madrid,0,5,A
07/01/2025,Eldense,Valencia,0,2,A
14/01/2025,Ourense CF,Valencia,0,2,A
15/01/2025,Pontevedra CF,Getafe,0,1,A
15/01/2025,Almeria,Leganes,2,3,A
15/01/2025,Barcelona,Real Betis,5,1,H
15/01/2025,Elche,Atletico Madrid,0,4,A
16/01/2025,Real Sociedad,Rayo Vallecano,3,1,H
16/01/2025,Athletic Bilbao,Osasuna,2,3,A
16/01/2025,Real Madrid,Celta Vigo,5,2,H
04/02/2025,Atletico Madrid,Getafe,5,0,H
05/02/2025,Leganes,Real Madrid,2,3,A
06/02/2025,Real Sociedad,Osasuna,2,0,H
06/02/2025,Valencia,Barcelona,0,5,A
25/02/2025,Barcelona,Atletico Madrid,4,4,D
26/02/2025,Real Sociedad,Real Madrid,0,1,A
01/04/2025,Real Madrid,Real Sociedad,4,4,D
